"Reason for Credit Entry","Sub Order No","Catalog ID","Order Date","Order source","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"RTO_COMPLETE","315118640940072128_1","530343118","2026-08-01","","Bihar","Annaprashan Decoration Kit for Baby Boy & Girl | 40 Balloons, Red Foil Curtain, Shubh Annaprashan Banner, 16 Photo Booth Props, Balloon Arch Tape & Glue Dots | Complete Rice Ceremony Decoration Set","ANP002","Free Size","1","150.0","150.0","TNB062681952774"
"DELIVERED","315695251548681792_1","530312968","2026-08-03","","Karnataka","Annaprashan Decoration Kit | Annaprasan Banner | 30 Metallic Balloons | 4 Heart Foil Balloons | Baby Rice Ceremony Decoration Set","ANP001","Free Size","1","132.0","132.0","TNB062681952743"
"DELIVERED","315763672932098816_1","530343118","2026-08-03","","Maharashtra","Annaprashan Decoration Kit for Baby Boy & Girl | 40 Balloons, Red Foil Curtain, Shubh Annaprashan Banner, 16 Photo Booth Props, Balloon Arch Tape & Glue Dots | Complete Rice Ceremony Decoration Set","ANP002","Free Size","1","150.0","150.0","TNB062681952760"
"CANCELLED","316091675260605056_1","530343118","2026-08-04","","Uttar Pradesh","Annaprashan Decoration Kit for Baby Boy & Girl | 40 Balloons, Red Foil Curtain, Shubh Annaprashan Banner, 16 Photo Booth Props, Balloon Arch Tape & Glue Dots | Complete Rice Ceremony Decoration Set","ANP002","Free Size","1","145.0","145.0",
"DELIVERED","316843018279573888_1","530343118","2026-08-06","","Himachal Pradesh","Annaprashan Decoration Kit for Baby Boy & Girl | 40 Balloons, Red Foil Curtain, Shubh Annaprashan Banner, 16 Photo Booth Props, Balloon Arch Tape & Glue Dots | Complete Rice Ceremony Decoration Set","ANP002","Free Size","1","145.0","145.0","TNB062681952976"
"DELIVERED","318061750187926208_1","530312968","2026-08-09","","Uttar Pradesh","Annaprashan Decoration Kit | Annaprasan Banner | 30 Metallic Balloons | 4 Heart Foil Balloons | Baby Rice Ceremony Decoration Set","ANP001","Free Size","1","132.0","132.0","NP2NMEU01839128"
"DELIVERED","318342408289498944_1","530312968","2026-08-10","","Madhya Pradesh","Annaprashan Decoration Kit | Annaprasan Banner | 30 Metallic Balloons | 4 Heart Foil Balloons | Baby Rice Ceremony Decoration Set","ANP001","Free Size","1","132.0","132.0",
"DELIVERED","319350949615660608_1","537150102","2026-08-13","","Tamil Nadu","Groom To Be Decoration Kit Gold White Balloons Star Foil Sash (Set of 44 Pcs)","GTB001","Free Size","1","156.0","156.0","TNB062681953073"
"CANCELLED","320003756472549184_1","530312968","2026-08-15","","Uttarakhand","Annaprashan Decoration Kit | Annaprasan Banner | 30 Metallic Balloons | 4 Heart Foil Balloons | Baby Rice Ceremony Decoration Set","ANP001","Free Size","1","132.0","132.0","NP2NMEU01839129"
"CANCELLED","320969411621136000_1","530312968","2026-08-17","","Delhi","Annaprashan Decoration Kit | Annaprasan Banner | 30 Metallic Balloons | 4 Heart Foil Balloons | Baby Rice Ceremony Decoration Set","ANP001","Free Size","1","132.0","132.0",
