"Reason for Credit Entry","Sub Order No","Catalog ID","Order Date","Order source","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"DELIVERED","313304301317247616_1","530343118","2026-07-27","","Uttar Pradesh","Annaprashan Decoration Kit for Baby Boy & Girl | 40 Balloons, Red Foil Curtain, Shubh Annaprashan Banner, 16 Photo Booth Props, Balloon Arch Tape & Glue Dots | Complete Rice Ceremony Decoration Set","SVP033","Free Size","1","150.0","150.0","TNB062681952657"
"DELIVERED","314461087764251328_1","530312968","2026-07-30","","Uttar Pradesh","Annaprashan Decoration Kit | Annaprasan Banner | 30 Metallic Balloons | 4 Heart Foil Balloons | Baby Rice Ceremony Decoration Set","ANP001","Free Size","1","132.0","132.0","TNB062681952766"
"DELIVERED","314465536863255744_1","530343118","2026-07-30","","Maharashtra","Annaprashan Decoration Kit for Baby Boy & Girl | 40 Balloons, Red Foil Curtain, Shubh Annaprashan Banner, 16 Photo Booth Props, Balloon Arch Tape & Glue Dots | Complete Rice Ceremony Decoration Set","ANP002","Free Size","1","150.0","150.0","TNB062681952514"
"DELIVERED","314667239663353024_1","538866687","2026-07-31","","Maharashtra","Annaprasan Decoration Kit | Red Gold Metallic Balloons | Heart Foil Banner | Props LED Light (Set of 54 Pcs)","ANP003","Free Size","1","188.0","188.0","TNE062687791415"
"DELIVERED","314820948749859904_1","530343118","2026-07-31","","Maharashtra","Annaprashan Decoration Kit for Baby Boy & Girl | 40 Balloons, Red Foil Curtain, Shubh Annaprashan Banner, 16 Photo Booth Props, Balloon Arch Tape & Glue Dots | Complete Rice Ceremony Decoration Set","ANP002","Free Size","1","150.0","150.0","TNB062681952519"
